noc2011_code,noc2011_title,isco2008_code,isco2008_title,Explanatory_notes
3142,Physiotherapists,2264,Physiotherapists,
3143,Occupational therapists,2269,Health professionals not elsewhere classified,Occupational therapists
3144,Other professional occupations in therapy and assessment,2269,Health professionals not elsewhere classified,Other professional occupations in therapy and assessment
3211,Medical laboratory technologists,3212,Medical and pathology laboratory technicians,Medical laboratory technologists
3212,Medical laboratory technicians and pathologists' assistants,3212,Medical and pathology laboratory technicians,Except medical laboratory technologists
3212,Medical laboratory technicians and pathologists' assistants,5329,Personal care workers in health services not elsewhere classified,Phlebotomists
3213,Animal health technologists and veterinary technicians,3240,Veterinary technicians and assistants,
3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",3259,Health associate professionals not elsewhere classified,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists"
3215,Medical radiation technologists,3211,Medical imaging and therapeutic equipment technicians,Medical radiation technologists
3216,Medical sonographers,3211,Medical imaging and therapeutic equipment technicians,Medical sonographers
3217,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",3211,Medical imaging and therapeutic equipment technicians,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c."
3219,Other medical technologists and technicians (except dental health),3213,Pharmaceutical technicians and assistants,
3219,Other medical technologists and technicians (except dental health),3214,Medical and dental prosthetic technicians,"Ocularists, orthotists, prosthetists and ocularist, orthotic and prosthetic technicians (except dental health)"
3219,Other medical technologists and technicians (except dental health),3259,Health associate professionals not elsewhere classified,"Other medical technologists and technicians, n.e.c."
3219,Other medical technologists and technicians (except dental health),7311,Precision-instrument makers and repairers,Orthopedic appliance assemblers
3221,Denturists,3214,Medical and dental prosthetic technicians,Denturists
3222,Dental hygienists and dental therapists,3251,Dental assistants and therapists,Dental hygienists and dental therapists
3223,"Dental technologists, technicians and laboratory assistants",3214,Medical and dental prosthetic technicians,"Dental technologists, technicians and laboratory assistants"
3231,Opticians,3254,Dispensing opticians,
3232,Practitioners of natural healing,2230,Traditional and complementary medicine professionals,"Practitioners of natural healing (except herbalists, shamans, accupressure therapists and reflexologists)"
3232,Practitioners of natural healing,3230,Traditional and complementary medicine associate professionals,
3232,Practitioners of natural healing,3255,Physiotherapy technicians and assistants,Acupressure therapists and reflexologists
3233,Licensed practical nurses,3221,Nursing associate professionals,
3234,Paramedical occupations,3258,Ambulance workers,
3236,Massage therapists,3255,Physiotherapy technicians and assistants,Massage therapists
3237,Other technical occupations in therapy and assessment,3214,Medical and dental prosthetic technicians,Hearing aid technicians
3237,Other technical occupations in therapy and assessment,3255,Physiotherapy technicians and assistants,"Except acupressure therapists, reflexologists and massage therapists"
3237,Other technical occupations in therapy and assessment,3256,Medical assistants,Ophthalmic assistants
